airfoil Base mesh: VV
airfoil 0 1448 Base mesh: VV: Initializing solver
airfoil Base mesh: VV elapsed 30.0 RSS MiB 273
airfoil Base mesh: VV elapsed 60.0 RSS MiB 328
airfoil Base mesh: VV elapsed 90.0 RSS MiB 390
airfoil Base mesh: VV elapsed 120.1 RSS MiB 423
airfoil Base mesh: VV elapsed 150.1 RSS MiB 476
airfoil Base mesh: VV elapsed 180.1 RSS MiB 507
airfoil Base mesh: VV elapsed 210.1 RSS MiB 560
airfoil Base mesh: VV elapsed 240.1 RSS MiB 610
airfoil Base mesh: VV elapsed 270.1 RSS MiB 652
airfoil Base mesh: VV elapsed 300.1 RSS MiB 705
airfoil Base mesh: VV elapsed 330.1 RSS MiB 755
airfoil Base mesh: VV elapsed 360.1 RSS MiB 797
airfoil Base mesh: VV elapsed 390.1 RSS MiB 860
airfoil Base mesh: VV elapsed 420.2 RSS MiB 904
airfoil Base mesh: VV elapsed 450.2 RSS MiB 941
airfoil Base mesh: VV elapsed 480.2 RSS MiB 988
airfoil Base mesh: VV elapsed 510.2 RSS MiB 1042
airfoil Base mesh: VV elapsed 540.2 RSS MiB 1018
airfoil Base mesh: VV elapsed 570.2 RSS MiB 1016
airfoil Base mesh: VV elapsed 600.2 RSS MiB 1042
airfoil Base mesh: VV elapsed 630.2 RSS MiB 1049
airfoil Base mesh: VV elapsed 660.2 RSS MiB 1182
airfoil Base mesh: VV elapsed 690.2 RSS MiB 1262
airfoil Base mesh: HH
airfoil Base mesh: HH elapsed 720.2 RSS MiB 1015
airfoil Base mesh: HH elapsed 750.2 RSS MiB 1016
airfoil Base mesh: HH elapsed 780.3 RSS MiB 1042
airfoil Base mesh: HH elapsed 810.3 RSS MiB 1047
airfoil Base mesh: HH elapsed 840.3 RSS MiB 1178
airfoil Base mesh: HH elapsed 870.3 RSS MiB 1296
airfoil Fine mesh: VV
airfoil Fine mesh: VV elapsed 900.3 RSS MiB 368
