pec-n384-f0.6 TE none {'name': 'none', 'setup_seconds': 8.999995770864189e-07, 'preconditioner_bytes': 0, 'solves': [{'info': 0, 'iterations': 6, 'seconds': 0.0006649999995715916, 'original_backward': 4.585217518039282e-15, 'density_error': 1.5645457064444467e-14}, {'info': 0, 'iterations': 6, 'seconds': 0.0005383999996411148, 'original_backward': 4.37945960376142e-15, 'density_error': 1.610192931059198e-14}, {'info': 0, 'iterations': 6, 'seconds': 0.0004304000012780307, 'original_backward': 4.67845330660048e-15, 'density_error': 1.665381006396528e-14}, {'info': 0, 'iterations': 6, 'seconds': 0.00041760000021895394, 'original_backward': 4.454752598611407e-15, 'density_error': 1.571960158919998e-14}], 'field_peak_error': 1.6816909406925183e-15}
pec-n384-f0.6 TE local_blocks {'name': 'local_blocks', 'setup_seconds': 0.0008913000001484761, 'preconditioner_bytes': 591360, 'solves': [{'info': 0, 'iterations': 12, 'seconds': 0.0017678000003797933, 'original_backward': 3.6479442457285204e-14, 'density_error': 1.4976616197911015e-13}, {'info': 0, 'iterations': 12, 'seconds': 0.0016165999986696988, 'original_backward': 1.226988814009799e-13, 'density_error': 5.128266025923442e-13}, {'info': 0, 'iterations': 12, 'seconds': 0.0018202000010205666, 'original_backward': 3.6335641047818314e-14, 'density_error': 1.4901292561965204e-13}, {'info': 0, 'iterations': 12, 'seconds': 0.0016555000001972076, 'original_backward': 3.6422274619914376e-14, 'density_error': 1.4960869156200276e-13}], 'field_peak_error': 1.534032668026063e-14}
pec-n384-f0.6 TE coarse_hodlr {'name': 'coarse_hodlr', 'setup_seconds': 0.0037824999999429565, 'preconditioner_bytes': 773616, 'solves': [{'info': 0, 'iterations': 3, 'seconds': 0.0007707000004302245, 'original_backward': 4.008356605818253e-15, 'density_error': 1.3146490855336176e-14}, {'info': 0, 'iterations': 3, 'seconds': 0.0006632000004174188, 'original_backward': 2.3887150196519124e-15, 'density_error': 8.384740424920955e-15}, {'info': 0, 'iterations': 3, 'seconds': 0.0013628000015160069, 'original_backward': 9.116823503097305e-16, 'density_error': 4.008878015435976e-15}, {'info': 0, 'iterations': 3, 'seconds': 0.000769899999795598, 'original_backward': 4.131903337556068e-15, 'density_error': 1.3059295802516677e-14}], 'field_peak_error': 3.2156155959087587e-15}
pec-n384-f0.6 TM none {'name': 'none', 'setup_seconds': 3.9999940781854093e-07, 'preconditioner_bytes': 0, 'solves': [{'info': 0, 'iterations': 9, 'seconds': 0.0012627000014617806, 'original_backward': 2.9263780524387004e-13, 'density_error': 8.930329241138572e-12}, {'info': 0, 'iterations': 9, 'seconds': 0.0006837999990239041, 'original_backward': 5.638441488062462e-13, 'density_error': 9.84535435371612e-12}, {'info': 0, 'iterations': 9, 'seconds': 0.0006790000006731134, 'original_backward': 4.191978881422402e-13, 'density_error': 9.324724288963016e-12}, {'info': 0, 'iterations': 9, 'seconds': 0.000668700000460376, 'original_backward': 2.557114031771877e-13, 'density_error': 8.787365106429819e-12}], 'field_peak_error': 1.3282807317334063e-15}
pec-n384-f0.6 TM local_blocks {'name': 'local_blocks', 'setup_seconds': 0.0008235999994212762, 'preconditioner_bytes': 591360, 'solves': [{'info': 0, 'iterations': 19, 'seconds': 0.0028531999996630475, 'original_backward': 7.279419374096523e-13, 'density_error': 1.6041705933732923e-10}, {'info': 0, 'iterations': 19, 'seconds': 0.0027138000004924834, 'original_backward': 2.460378824420138e-13, 'density_error': 5.156718370829024e-11}, {'info': 0, 'iterations': 19, 'seconds': 0.00284289999945031, 'original_backward': 7.279042297369082e-13, 'density_error': 1.6024156722385926e-10}, {'info': 0, 'iterations': 19, 'seconds': 0.0030958000006648945, 'original_backward': 7.279903200548577e-13, 'density_error': 1.6021990516988223e-10}], 'field_peak_error': 1.3791965644774698e-12}
pec-n384-f0.6 TM coarse_hodlr {'name': 'coarse_hodlr', 'setup_seconds': 0.0036615000008168863, 'preconditioner_bytes': 807824, 'solves': [{'info': 0, 'iterations': 4, 'seconds': 0.0010162000016862294, 'original_backward': 1.0647335877323143e-14, 'density_error': 3.665836834785403e-12}, {'info': 0, 'iterations': 4, 'seconds': 0.0008072000000538537, 'original_backward': 1.6601579025184725e-14, 'density_error': 5.5191090679322184e-12}, {'info': 0, 'iterations': 4, 'seconds': 0.0007796999998390675, 'original_backward': 7.73333772978457e-15, 'density_error': 8.153025743642732e-13}, {'info': 0, 'iterations': 4, 'seconds': 0.0007699999987380579, 'original_backward': 1.0539559976025314e-14, 'density_error': 3.781067843887482e-12}], 'field_peak_error': 1.569697797443195e-14}
airfoil-n256-f1.0 TE none {'name': 'none', 'setup_seconds': 6.999998731771484e-07, 'preconditioner_bytes': 0, 'solves': [{'info': 3, 'iterations': 120, 'seconds': 0.22741900000073656, 'original_backward': 0.0016879472177200848, 'density_error': 0.24231422548939666}, {'info': 3, 'iterations': 120, 'seconds': 0.23079460000008112, 'original_backward': 0.03406417238005254, 'density_error': 0.5806747287205177}, {'info': 3, 'iterations': 120, 'seconds': 0.23857940000016242, 'original_backward': 0.009419443231905635, 'density_error': 0.5832633139295365}, {'info': 3, 'iterations': 120, 'seconds': 0.22763579999991634, 'original_backward': 0.0014704174240120773, 'density_error': 0.177663535653327}], 'field_peak_error': 0.3925640831811717}
airfoil-n256-f1.0 TE local_blocks {'name': 'local_blocks', 'setup_seconds': 0.00550420000035956, 'preconditioner_bytes': 4404624, 'solves': [{'info': 0, 'iterations': 66, 'seconds': 0.16133219999937864, 'original_backward': 3.8028266635645424e-13, 'density_error': 7.82155631589665e-09}, {'info': 0, 'iterations': 69, 'seconds': 0.16267709999920044, 'original_backward': 1.6928086071657376e-13, 'density_error': 7.23128538074833e-09}, {'info': 0, 'iterations': 62, 'seconds': 0.14400489999934507, 'original_backward': 8.981769143062957e-13, 'density_error': 9.501925312957955e-09}, {'info': 0, 'iterations': 65, 'seconds': 0.15091279999978724, 'original_backward': 3.355130993688862e-13, 'density_error': 1.0259295832567673e-08}], 'field_peak_error': 4.25322487314451e-12}
airfoil-n256-f1.0 TE coarse_hodlr {'name': 'coarse_hodlr', 'setup_seconds': 0.5369221999990259, 'preconditioner_bytes': 16134952, 'solves': [{'info': 0, 'iterations': 9, 'seconds': 0.03907219999928202, 'original_backward': 1.3616913799218844e-15, 'density_error': 7.821331891992595e-09}, {'info': 0, 'iterations': 9, 'seconds': 0.03823740000007092, 'original_backward': 2.0573958220269436e-15, 'density_error': 7.232746904215289e-09}, {'info': 0, 'iterations': 9, 'seconds': 0.0381597999985388, 'original_backward': 1.7200582376614007e-15, 'density_error': 9.505749258475472e-09}, {'info': 0, 'iterations': 9, 'seconds': 0.038439100000687176, 'original_backward': 1.230203914768518e-15, 'density_error': 1.025624072288927e-08}], 'field_peak_error': 2.3050082830704133e-13}
airfoil-n256-f1.0 TM none {'name': 'none', 'setup_seconds': 5.999991117278114e-07, 'preconditioner_bytes': 0, 'solves': [{'info': 3, 'iterations': 120, 'seconds': 0.23914530000001832, 'original_backward': 0.001984413528725304, 'density_error': 0.16412308968345618}, {'info': 3, 'iterations': 120, 'seconds': 0.22571919999973034, 'original_backward': 0.003302864563344937, 'density_error': 0.4988437494859917}, {'info': 3, 'iterations': 120, 'seconds': 0.22686160000012023, 'original_backward': 0.0018423991854495628, 'density_error': 0.48338892185721044}, {'info': 3, 'iterations': 120, 'seconds': 0.22710880000158795, 'original_backward': 0.0005294655884381215, 'density_error': 0.4354546606168063}], 'field_peak_error': 0.00022371173619447618}
airfoil-n256-f1.0 TM local_blocks {'name': 'local_blocks', 'setup_seconds': 0.0058470999993005535, 'preconditioner_bytes': 4404624, 'solves': [{'info': 0, 'iterations': 68, 'seconds': 0.1621768000004522, 'original_backward': 2.3821800233948543e-12, 'density_error': 4.3892884543736697e-10}, {'info': 0, 'iterations': 69, 'seconds': 0.16017250000004424, 'original_backward': 1.7832155973935858e-12, 'density_error': 4.676016067225875e-10}, {'info': 0, 'iterations': 71, 'seconds': 0.1609042000000045, 'original_backward': 7.844472416284124e-13, 'density_error': 1.7900730371439563e-10}, {'info': 0, 'iterations': 68, 'seconds': 0.15728019999914977, 'original_backward': 4.561794093331726e-13, 'density_error': 9.189253196904616e-11}], 'field_peak_error': 7.275920929867284e-13}
