         1003195 function calls (1003010 primitive calls) in 2.108 seconds

   Ordered by: cumulative time
   List reduced from 928 to 65 due to restriction <65>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.114    2.114 common.py:54(public_solve)
      3/1    0.000    0.000    2.113    2.113 solver_metrics.py:108(measured)
      3/1    0.000    0.000    2.098    2.098 cpu_execution.py:108(call)
        1    0.000    0.000    2.098    2.098 assembly_session.py:37(call)
        1    0.000    0.000    2.098    2.098 rcs_solver.py:2974(solve_monostatic_rcs_2d)
        2    0.003    0.002    2.096    1.048 rcs_solver.py:1736(solve_monostatic_rcs_2d_single_polarization)
        2    0.000    0.000    2.052    1.026 rcs_solver.py:1442(_solve_dielectric_indirect)
    29/17    0.001    0.000    2.030    0.119 solver_metrics.py:96(measured)
        2    0.004    0.002    1.836    0.918 dielectric_system.py:7(assemble_system)
        3    0.000    0.000    1.828    0.609 cpu_execution.py:137(call)
        3    0.002    0.001    1.134    0.378 rcs_operators.py:1339(_run_tiled_obs_blocks)
        2    0.000    0.000    1.060    0.530 rcs_operators.py:1998(_assemble_linear_operator_matrices)
        2    0.024    0.012    1.060    0.530 rcs_operators.py:1413(_assemble_linear_operator_matrices_multi)
        1    0.004    0.004    0.768    0.768 rcs_operators.py:2038(_assemble_linear_hypersingular_matrix)
        1    0.104    0.104    0.657    0.657 rcs_operators.py:2116(_batch_pass)
        4    0.064    0.016    0.474    0.119 rcs_operators.py:1660(_far_pass)
      256    0.456    0.002    0.456    0.002 rcs_operators.py:1289(_far_green_into)
      216    0.011    0.000    0.309    0.001 cpu_kernels.py:219(evaluate)
      218    0.000    0.000    0.298    0.001 _interpolate.py:1508(__call__)
      218    0.001    0.000    0.297    0.001 _interpolate.py:753(__call__)
      218    0.295    0.001    0.296    0.001 _interpolate.py:781(_evaluate)
     2304    0.056    0.000    0.266    0.000 rcs_operators.py:471(_integrate_linear_touching_duffy_sk_vectorized)
     2304    0.004    0.000    0.244    0.000 rcs_operators.py:803(_sk_blocks_near_linear)
     3075    0.212    0.000    0.226    0.000 rcs_operators.py:697(_stable_hankel2_array)
        2    0.001    0.000    0.215    0.107 boundary_fields.py:7(solve_fields)
        2    0.025    0.013    0.200    0.100 rcs_operators.py:209(_integrate_linear_pairs_box_sk_batched)
        4    0.025    0.006    0.136    0.034 sweep_compression.py:15(solve)
     1538    0.001    0.000    0.120    0.000 rcs_operators.py:737(_hankel2_1_array)
     6912    0.026    0.000    0.110    0.000 rcs_operators.py:62(_linear_shared_interval_endpoint_info)
     2608    0.108    0.000    0.108    0.000 rcs_operators.py:1267(_axpy_into)
     1537    0.001    0.000    0.107    0.000 rcs_operators.py:734(_hankel2_0_array)
     1536    0.002    0.000    0.104    0.000 rcs_operators.py:776(_single_layer_block_linear)
        4    0.000    0.000    0.094    0.023 _decomp_svd.py:37(svd)
        4    0.093    0.023    0.093    0.023 {built-in method scipy.linalg._batched_linalg._svd}
    28829    0.032    0.000    0.066    0.000 _linalg.py:2598(norm)
